filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate
micro_nginx_c_1_60,nginx/1.4.6,54.186.85.227,612,60,0.035,100,0,85300,61200,2888.59,20.771,0.346,2406.22,micro
micro_nginx_c_1_70,nginx/1.4.6,54.186.85.227,612,70,0.041,100,0,85300,61200,2422.01,28.902,0.413,2017.55,micro
micro_nginx_c_1_80,nginx/1.4.6,54.186.85.227,612,80,0.043,100,0,85300,61200,2352.94,34.000,0.425,1960.02,micro
micro_nginx_c_1_90,nginx/1.4.6,54.186.85.227,612,90,0.049,100,0,85300,61200,2035.87,44.207,0.491,1695.90,micro
micro_nginx_c_2_10,nginx/1.4.6,54.186.85.227,612,10,0.037,100,0,85300,61200,2668.73,3.747,0.375,2223.07,micro
micro_nginx_c_2_100,nginx/1.4.6,54.186.85.227,612,100,0.047,100,0,85300,61200,2138.95,46.752,0.468,1781.76,micro
micro_nginx_c_2_20,nginx/1.4.6,54.186.85.227,612,20,0.057,100,0,85300,61200,1769.13,11.305,0.565,1473.70,micro
micro_nginx_c_2_30,nginx/1.4.6,54.186.85.227,612,30,0.029,100,0,85300,61200,3431.24,8.743,0.291,2858.25,micro
micro_nginx_c_2_40,nginx/1.4.6,54.186.85.227,612,40,0.031,100,0,85300,61200,3273.97,12.218,0.305,2727.24,micro
micro_nginx_c_2_50,nginx/1.4.6,54.186.85.227,612,50,0.029,100,0,85300,61200,3463.56,14.436,0.289,2885.18,micro
micro_nginx_c_2_60,nginx/1.4.6,54.186.85.227,612,60,0.030,100,0,85300,61200,3354.58,17.886,0.298,2794.39,micro
micro_nginx_c_2_70,nginx/1.4.6,54.186.85.227,612,70,0.042,100,0,85300,61200,2370.34,29.532,0.422,1974.51,micro
micro_nginx_c_2_80,nginx/1.4.6,54.186.85.227,612,80,0.051,100,0,85300,61200,1979.77,40.409,0.505,1649.16,micro
micro_nginx_c_2_90,nginx/1.4.6,54.186.85.227,612,90,0.062,100,0,85300,61200,1619.75,55.564,0.617,1349.26,micro
micro_nginx_c_3_10,nginx/1.4.6,54.186.85.227,612,10,0.045,100,0,85300,61200,2233.14,4.478,0.448,1860.22,micro
micro_nginx_c_3_100,nginx/1.4.6,54.186.85.227,612,100,0.032,100,0,85300,61200,3169.07,31.555,0.316,2639.86,micro
micro_nginx_c_3_20,nginx/1.4.6,54.186.85.227,612,20,0.042,100,0,85300,61200,2391.49,8.363,0.418,1992.13,micro
micro_nginx_c_3_30,nginx/1.4.6,54.186.85.227,612,30,0.042,100,0,85300,61200,2354.44,12.742,0.425,1961.26,micro
micro_nginx_c_3_40,nginx/1.4.6,54.186.85.227,612,40,0.042,100,0,85300,61200,2353.61,16.995,0.425,1960.57,micro
micro_nginx_c_3_50,nginx/1.4.6,54.186.85.227,612,50,0.034,100,0,85300,61200,2970.36,16.833,0.337,2474.33,micro
micro_nginx_c_3_60,nginx/1.4.6,54.186.85.227,612,60,0.028,100,0,85300,61200,3529.33,17.000,0.283,2939.96,micro
micro_nginx_c_3_70,nginx/1.4.6,54.186.85.227,612,70,0.034,100,0,85300,61200,2972.21,23.552,0.336,2475.87,micro
micro_nginx_c_3_80,nginx/1.4.6,54.186.85.227,612,80,0.035,100,0,85300,61200,2838.17,28.187,0.352,2364.22,micro
micro_nginx_c_3_90,nginx/1.4.6,54.186.85.227,612,90,0.040,100,0,85300,61200,2492.58,36.107,0.401,2076.34,micro
